id,company,role,idea_name,problem,mermaid_code,stack,priority,company_profile,job_summary,mvp_score,source,scraped_at,job_link,job_description
1,"HiveÂ (S14)â€¢Marketing automation for event promoters (email, sms, ads, CRM)",Head of Product,Dynamic Ticket-Velocity Campaign Orchestrator,"Event promoters currently rely on static, manually scheduled marketing campaigns, missing critical sales momentum signals (e.g., ticket tier sell-out speeds or sudden sales stalls) across fragmented ticketing platforms and marketing channels.","graph TD
    A[Ticketing API / Sales Stream] --> B[Python Velocity & Segment Engine]
    B --> C{Velocity Threshold Met?}
    C -- Sales Stalled --> D[Node.js Workflow Trigger]
    C -- Fast Sell-out --> E[Node.js Price Tier Escalator]
    D --> F[Trigger High-Intent SMS Flash Sale]
    D --> G[Auto-Scale Meta & Web Ad Budget]
    E --> H[Trigger VIP Presale Email Surge]
    F --> I[React Promoter Command Center]
    G --> I
    H --> I","Node.js, Python, React, Temporal.io",Zero-to-One,,,,,,,
2,Noora HealthÂ (W14)â€¢Training patients and their families with health skills,Lead/Group Product Manager,FidelityFlow - Offline Caregiver Training & Fidelity Orchestration Engine,"Scaling caregiving education across high-volume, low-resource public hospitals leads to inconsistent delivery quality, disconnected offline ward activity logging, localized language fragmentation, and lack of automated insights into family caregiver comprehension.",graph TD; A[Clinical Content Team] -->|Uploads Localized Modules| B[FidelityFlow Studio]; B -->|Syncs Offline Packages| C[Nurse Trainer App]; C -->|Delivers Ward Session| D[Family Caregivers]; C -->|Captures Session Audio & Assessment| E[AI Quality Evaluator]; E -->|Calculates Fidelity & Retention Score| F[Regional Analytics Dashboard]; F -->|Feedback Loop| A;,"Node.js (API & Middleware), Python (Speech-to-Text & Delivery Quality NLP), React (Studio Web Interface), PouchDB/CouchDB (Offline-First Ward Data Sync)",Zero-to-One,,,,,,,
3,LanceÂ (W26)â€¢AI Agents That Run Hotel Operations.,Product Marketing Manager,SimuLodge AI - Hospitality Proof-of-Value Sandbox,"Hotel General Managers are notoriously risk-averse and hesitant to deploy autonomous AI for guest operations due to fear of hallucinations, brand damage, and legacy PMS integration failures. PMMs struggle to convert prospect hesitation into trust without custom, high-friction engineering-led pilot builds.","graph TD;
    A[Hotel Historic Logs & SOPs] --> B[SimuLodge Ingestion Engine];
    B --> C[Synthetic Guest & Staff Stress Simulator];
    C --> D[Lance AI Agent Fleet Sandbox];
    D --> E{Safety & Policy Evaluator};
    E -->|Edge Cases/Failures| F[SOP & Escalation Rule Generator];
    E -->|Verified Metrics| G[Dynamic ROI & Labor Savings Deck];
    F --> D;
    G --> H[Live Interactive Pitch Sandbox for GMs];","Node.js, Python, React, Cloudbeds PMS API",Zero-to-One,,,,,,,
4,LanceÂ (W26)â€¢AI Agents That Run Hotel Operations.,Product Engineer,Autonomous Hotel Operations & Dispatch Agent,"Legacy hotel Property Management Systems (PMS) are static databases that cannot parse unstructured guest/staff requests or autonomously assign real-time tasks, forcing front-desk managers to manually triage events, coordinate shifts, and manage SLA breaches.",graph TD; A[Unstructured Guest Request] --> B[LLM Intent & Priority Classifier]; B --> C[PMS State & Staff Availability Check]; C --> D[Autonomous Task Dispatch]; D --> E{Task Completed within SLA?}; E -- Yes --> F[Update PMS & Inform Guest]; E -- No --> G[Re-route Task & Escalate to Manager]; G --> D;,"Python (Agentic Core & LLM Parsing), Node.js (Real-time API Backend), React (Operations Control Center), Temporal (Durable SLA Execution Engine)",Zero-to-One,,,,,,,
5,Dedalus LabsÂ (S25)â€¢Compute substrate for AI agents,Product Manager Summer 2027 Intern,AgentGrid: Ephemeral Sandbox & Compute Topology Engine,"AI agents execute long-running, non-deterministic tasks requiring instant micro-second compute provisioning, dynamic state checkpointing, and isolated sandboxing, which legacy container orchestrators fail to deliver efficiently without high resource waste and context-switching latency.","graph TD
    A[Agent Execution Request] --> B[Substrate Resource Router]
    B --> C[Instant Firecracker MicroVM Provisioning]
    C --> D[Agent Runtime & State Execution]
    D --> E[Real-Time State Checkpointer & Resource Metering]
    E --> F{Agent State Active?}
    F -->|Yes| D
    F -->|No| G[Snapshot Context to Object Store]
    G --> H[Ephemeral Environment Teardown]","Node.js, Python, React, Firecracker MicroVM",Zero-to-One,,,,,,,
6,ClosureÂ (W25)â€¢We help law enforcement solve crime,Founding Deployment Strategist,SentinelBridge - Automated RMS Data Mapping & Case Graph Studio,"Deploying investigative software to law enforcement agencies is severely bottlenecked by incompatible legacy Record Management Systems (RMS), strict CJIS compliance needs, and the manual effort required to ingest and structure fragmented municipal crime data into actionable case graphs.","graph TD;
    A[Legacy RMS / CAD / ALPR Feeds] --> B[CJIS-Compliant Sanitizer]
    B --> C[Python AI Entity & Relation Extractor]
    C --> D[Neo4j Knowledge Graph]
    D --> E[Node.js GraphQL / Sync Engine]
    E --> F[React Deployment & Integration Studio]
    F --> G[Closure Platform & Field Investigators]","Node.js, Python, React, Neo4j",Zero-to-One,,,,,,,
7,Splash Inc.Â (W25)â€¢Autonomous patrol-boats for National Security,"FulltimeEl Segundo, CA, US$60K - $120K",AegisWave Engine,"Autonomous maritime patrol boats operating in communication-degraded defense environments suffer from severe telemetry friction, preventing field operators from executing real-time hardware diagnostics, fast edge log triaging, and instant mission replays.",graph TD; A[Vessel Edge Sensors & ROS2] -->|Local Storage| B[Store-and-Forward Engine]; B -->|Intermittent Sat/Cell Link| C[Node.js Ingestion Gateway]; C --> D[(TimescaleDB Time-Series DB)]; C --> E[Python Telemetry & Anomaly Pipeline]; E --> F[Real-Time Fault Trigger]; D --> G[React Fleet Command Dashboard]; E --> G; G --> H[Field Operator Deployment Clearance],"Node.js, Python, React, TimescaleDB",Zero-to-One,,,,,,,
8,David AIÂ (S24)â€¢Data for audio AI,Technical Product Manager,SoundLoom: Automated Audio Data Alignment & QC Workbench,"Preparing training datasets for audio AI models requires high-precision alignment between acoustic signals, phonetic transcripts, and speaker metadata. Existing pipelines rely on fragmented manual curation, leading to noisy timestamps, speech clipping, and poor audio quality that cause hallucinations and degradation in audio LLMs.","graph TD
    A[Raw Audio & Transcript Ingestion] --> B[Acoustic Feature Extraction & SNR Check]
    B --> C{Meets Quality Threshold?}
    C -- No --> D[Automated Denoising & Audio Normalization]
    D --> B
    C -- Yes --> E[Forced Phoneme & Timestamp Alignment]
    E --> F[Automated Hallucination & Diarization QC]
    F --> G[Dataset Export for Model Training]","Node.js (API Gateway), Python (Audio ML Pipelines), React (Waveform & Annotation UI), Librosa (Audio Signal Processing)",Zero-to-One,,,,,,,
9,KastleÂ (S24)â€¢AI employee for consumer lending,Agent Product Manager,CreditAgent Audit & Policy Simulation Workbench,"Autonomous AI lending agents struggle with non-deterministic policy adherence and regulatory compliance (FCRA, ECOA), lacking specialized tooling for product teams to evaluate agent decision traces, run synthetic loan scenario simulations, and auto-generate compliant adverse action explanations.","graph TD;
    A[Raw Applicant Data & Paystubs] --> B[Document Parsing & Entity Extractor];
    B --> C[AI Agent Underwriting Core];
    C --> D{Real-time Regulatory Guardrails};
    D -- Compliance Flag/High Risk --> E[Adverse Action Trace & Explanation Engine];
    D -- Passed Guardrails --> F[Autonomous Decision & Risk Assessment];
    E --> G[Human Underwriter Audit Workbench];
    F --> G;
    G --> H[Final Loan Approval & Compliance Log];","Node.js (Real-time Event Gateway), Python (LLM Evaluation & NLP Pipelines), React (Interactive Audit & Simulation Dashboard), Temporal.io (Durable Workflow & Agent State Orchestration)",Zero-to-One,,,,,,,
10,KastleÂ (S24)â€¢AI employee for consumer lending,Senior Product Manager,Kastle PolicyFlow & Audit Studio,"Consumer lending platforms struggle to balance non-deterministic AI document extraction/credit scoring with rigid financial compliance regulations (FCRA, ECOA) and seamless human-in-the-loop exception handling.","graph TD
    A[Borrower Application] --> B[AI Document Extraction Engine]
    B --> C{Doc Verification}
    C -- Insufficient/Failed --> D[Automated Document Request Loop]
    C -- Passed --> E[FCRA & Fair Lending Compliance Guardrails]
    E --> F[AI Credit Risk & Ability-to-Pay Analyzer]
    F --> G{Policy Rule Evaluator}
    G -- Instant Approve --> H[Disbursement & Core Banking Sync]
    G -- Exception / Edge Case --> I[Underwriter Co-Pilot Queue]
    G -- Reject --> J[Automated Adverse Action Notice Generator]
    I -- Approved --> H
    I -- Rejected --> J","Node.js (API Orchestration), Python (AI Risk Scoring & Document Parsing), React (Underwriter Co-Pilot Frontend), Temporal.io (Resilient Financial Workflow Orchestration)",Zero-to-One,,,,,,,
